"COMMUNE";"DCLT";"CS1";"AGEREVQ";"IPONDI"
"61001";"61001";"2";"55";2.70132342206569
"61001";"61001";"5";"20";2.7089792662193
"61001";"61001";"5";"45";2.85638929397278
"61001";"61001";"6";"40";2.83810769513598
"61001";"61001";"5";"25";2.85638929397278
"61001";"61001";"3";"65";4.00002992144827
"61001";"61001";"6";"25";2.98153154433394
"61001";"61001";"6";"50";3.10443021092537
"61001";"61001";"2";"40";2.82962655686314
"61001";"61001";"5";"55";1.04433563392852
"61001";"61001";"6";"30";1.05144794848497
"61001";"61001";"5";"50";2.55033870566591
"61001";"61001";"4";"50";1.0298019023527
"61001";"61001";"4";"50";2.85145783341905
"61001";"61001";"5";"20";3.07157539390742
"61001";"61001";"3";"30";3.01987429750594
"61001";"61001";"2";"40";2.99176165867857
"61001";"61001";"5";"45";3.09249396613226
"61001";"61001";"5";"25";3.0479439868364
"61001";"61001";"5";"55";2.99585133655947
"61001";"61001";"4";"50";3.06738234407392
"61001";"61001";"3";"60";2.96943184553046
"61001";"61001";"6";"55";3.08827236006798
"61001";"61001";"6";"30";2.79415068638356
"61001";"61001";"5";"25";2.55033870566591
"61001";"61001";"3";"65";2.55033870566591
"61001";"61001";"3";"55";3.05217609861379
"61001";"61001";"5";"15";2.85145783341905
"61001";"61001";"4";"20";3.10019231052909
"61001";"61001";"6";"50";2.95950270254334
"61001";"61001";"5";"50";2.95950270254334
"61001";"61001";"6";"30";2.87414166477491
"61001";"61001";"6";"55";1.04433563392852
"61001";"61001";"5";"35";2.97784753809376
"61001";"61001";"6";"15";2.77659674050597
"61001";"61001";"4";"55";3.08827236006798
"61001";"61001";"5";"60";0.96627569258964
"61001";"61001";"5";"40";2.55033870566591
"61001";"61001";"2";"50";3.02026935298241
"61001";"61001";"5";"35";1.02689158001402
"61001";"61001";"2";"60";2.90684670206354
"61001";"61001";"4";"30";2.85145783341905
"61001";"61001";"2";"55";2.94056115235671
"61001";"61001";"5";"20";1.0298019023527
"61001";"61001";"5";"40";1.02689158001402
"61001";"61001";"4";"20";2.80346178011599
"61001";"61001";"4";"55";3.05217609861379
"61001";"61001";"5";"30";1.01858945443022
"61001";"61001";"3";"55";1.02689158001402
"61001";"61001";"5";"25";0.97854398988832
"61001";"61001";"5";"25";2.97159556907826
"61001";"61001";"5";"50";3.12016212077807
"61001";"61001";"4";"20";0.96949566336248
"61001";"61001";"4";"35";3.04417792080616
"61001";"61001";"5";"45";1.01858945443022
"61001";"61001";"5";"60";1.01858945443022
"61001";"61001";"5";"20";0.96949566336248
"61001";"61001";"6";"60";2.6443890579465
"61001";"61001";"4";"50";2.7089792662193
"61001";"61001";"5";"50";2.85638929397278
"61001";"61001";"4";"25";1.01858945443022
"61001";"61001";"4";"35";2.7089792662193
"61001";"61001";"5";"45";2.63362775372432
"61001";"61001";"6";"30";0.96627569258964
"61001";"61001";"4";"20";3.02469442825371
"61001";"61001";"6";"30";2.99176165867857
"61001";"61001";"5";"40";2.74721145185593
"61001";"61001";"5";"50";2.85638929397278
"61001";"61001";"5";"40";3.09249396613226
"61001";"61001";"5";"30";3.10816538825797
"61001";"61001";"4";"25";3.01614634173132
"61001";"61001";"4";"40";2.71233064549362
"61001";"61001";"4";"35";2.84756526909607
"61001";"61001";"5";"55";4.00002992144827
"61001";"61001";"4";"25";1.02689158001402
"61001";"61001";"6";"40";3.0479439868364
"61001";"61001";"5";"35";3.01103301562991
