CODGEO;LIBGEO;DEP;REG;EPCI;NATURE_EPCI;ARR;CV;ZE2010;UU2010;TUU2014;TDUU2014;AU2010;TAU2014;CATAEU2010;BV2012
24457;Saint-Martin-l'Astier;24;75;200069094;CC;243;2424;7205;24204;2;22;460;01;221;24299
24458;Saint-Martin-le-Pin;24;75;200071819;CC;242;2413;7202;24000;0;04;610;01;222;24311
24459;Saint-Maime-de-Péreyrol;24;75;200040392;CA;243;2412;7202;24000;0;04;997;00;120;24571
24460;Saint-Méard-de-Drône;24;75;200040400;CC;243;2416;7202;24000;0;04;998;00;300;24352
24461;Saint-Méard-de-Gurçon;24;75;200034197;CC;241;2411;7201;24000;0;05;998;00;300;24037
24462;Saint-Médard-de-Mussidan;24;75;200069094;CC;243;2424;7202;24204;2;22;460;01;221;24299
24463;Saint-Médard-d'Excideuil;24;75;242401024;CC;242;2406;7202;24000;0;05;000;00;400;24164
24464;Saint-Mesmin;24;75;242401024;CC;242;2406;7202;24000;0;04;000;00;400;24164
24465;Saint-Michel-de-Double;24;75;200069094;CC;243;2424;7202;24000;0;04;998;00;300;24299
24466;Saint-Michel-de-Montaigne;24;75;243301454;CC;241;2411;7205;24000;0;04;998;00;300;33108
24468;Saint-Michel-de-Villadeix;24;75;200040392;CA;243;2412;7202;24000;0;04;000;00;400;24571
24470;Sainte-Mondane;24;75;200040830;CC;244;2420;7203;24000;0;04;998;00;300;46309
24471;Sainte-Nathalène;24;75;200027217;CC;244;2418;7203;24000;0;05;258;02;212;24520
24472;Saint-Nexans;24;75;200070647;CA;241;2402;7201;00553;5;51;109;06;111;24037
24473;Sainte-Orse;24;75;200041150;CC;244;2405;7202;24000;0;04;000;00;400;24291
24474;Saint-Pancrace;24;75;200041572;CC;242;2403;7202;24000;0;03;000;00;400;24064
24476;Saint-Pantaly-d'Excideuil;24;75;242401024;CC;242;2406;7202;24000;0;03;000;00;400;24164
24477;Saint-Pardoux-de-Drône;24;75;200040400;CC;243;2416;7202;24000;0;04;998;00;300;24352
24478;Saint-Pardoux-et-Vielvic;24;75;200041051;CC;244;2423;7203;24000;0;04;000;00;400;24035
24479;Saint-Pardoux-la-Rivière;24;75;200071819;CC;242;2413;7202;24000;0;06;000;00;400;24311
24480;Saint-Paul-de-Serre;24;75;200040392;CA;243;2412;7202;24000;0;04;087;07;112;24571
24481;Saint-Paul-la-Roche;24;75;242400752;CC;242;2421;7202;24000;0;05;998;00;300;24551
24482;Saint-Paul-Lizonne;24;75;200040400;CC;243;2416;7202;24000;0;04;000;00;400;24352
24483;Saint-Perdoux;24;75;200040889;CC;241;2419;7201;24000;0;03;109;06;112;47057
24484;Saint-Pierre-de-Chignac;24;75;200040392;CA;243;2407;7202;24000;0;05;087;07;112;24322
24485;Saint-Pierre-de-Côle;24;75;242400752;CC;242;2421;7202;24000;0;04;998;00;300;24064
24486;Saint-Pierre-de-Frugie;24;75;242400752;CC;242;2421;7202;24000;0;04;000;00;400;87032
24487;Saint-Pierre-d'Eyraud;24;75;200070647;CA;241;2410;7201;00553;5;51;109;06;111;24037
24488;Saint-Pompont;24;75;200041440;CC;244;2423;7203;24000;0;04;000;00;400;46127
24489;Saint-Priest-les-Fougères;24;75;242400752;CC;242;2421;7202;24000;0;04;000;00;400;87032
24490;Saint Privat en Périgord;24;75;242400935;CC;243;2409;7202;24000;0;06;000;00;400;24352
24491;Saint-Rabier;24;75;200041150;CC;244;2405;7202;24000;0;05;998;00;300;24547
24492;Sainte-Radegonde;24;75;200040889;CC;241;2419;7201;24000;0;02;000;00;400;47057
