CODGEO;LIBGEO;REG;DEP;ARR;CV;ZE1990;ZE2010;UU1999;AU1999;EU1999;TAU1999;TUU1999;TDUU1999;BV;EPCI;NATURE_EPCI;ZAUER1999
80378;Ginchy;22;80;804;8016;2219;2211;80000;000;9Z;00;0;02;62080;248000465;CC;6
80379;Glisy;22;80;802;8013;2202;2210;80000;032;1T;08;0;04;80021;248000531;CA;2
80380;Gorenflos;22;80;801;8004;2211;2209;80000;999;1T;00;0;04;80001;248000705;CC;3
80381;Gorges;22;80;802;8012;2202;2210;80000;032;1T;08;0;01;80253;248000689;CC;2
80383;Goyencourt;22;80;803;8038;2219;2210;80000;000;9Z;00;0;02;80685;ZZZZZZZZZ;;5
80384;Grandcourt;22;80;804;8006;2202;2210;80000;000;9Z;00;0;03;80016;248000747;CC;6
80385;Grand-Laviers;22;80;801;8001;2211;2209;80000;173;1T;05;0;04;80001;248000556;CC;2
80386;Gratibus;22;80;803;8027;2219;2210;80000;000;9Z;00;0;03;80561;248000739;CC;6
80387;Grattepanche;22;80;802;8013;2202;2210;80000;032;1T;08;0;04;80021;248000531;CA;2
80388;Grébault-Mesnil;22;80;801;8029;2212;2209;80000;000;9Z;00;0;03;80001;248000473;CC;6
80389;Grécourt;22;80;804;8030;2219;2211;80000;999;1A;00;0;01;80410;248000358;CC;3
80390;Grivesnes;22;80;803;8005;2202;2210;80000;000;9Z;00;0;04;80010;248000523;CC;6
80391;Grivillers;22;80;803;8027;2219;2210;80000;000;9Z;00;0;02;80685;248000739;CC;6
80392;Grouches-Luchuel;22;80;802;8021;2202;2210;80000;000;9Z;00;0;04;80253;248000416;CC;5
80393;Gruny;22;80;803;8038;2219;2210;80000;000;9Z;00;0;04;80685;ZZZZZZZZZ;;5
80395;Guerbigny;22;80;803;8027;2219;2210;80000;000;9Z;00;0;04;80561;248000739;CC;6
80396;Gueschart;22;80;801;8019;2211;2209;80000;000;9Z;00;0;04;62060;200011997;CC;6
80397;Gueudecourt;22;80;804;8016;2219;2211;80000;000;9Z;00;0;03;62080;248000465;CC;6
80399;Guignemicourt;22;80;802;8026;2202;2210;80000;032;1T;08;0;04;80021;248000531;CA;2
80400;Guillaucourt;22;80;803;8037;2219;2210;80000;000;9Z;00;0;04;80680;248000507;CC;6
80401;Guillemont;22;80;804;8016;2219;2211;80000;000;9Z;00;0;03;80016;248000465;CC;6
80402;Guizancourt;22;80;802;8035;2202;2210;80000;000;9Z;00;0;03;80630;248000762;CC;6
80403;Guyencourt-sur-Noye;22;80;802;8013;2202;2210;80000;032;1T;08;0;04;80010;248000523;CC;2
80404;Guyencourt-Saulcourt;22;80;804;8036;2219;2211;80000;000;9Z;00;0;03;80677;248000572;CC;6
80405;Hailles;22;80;802;8013;2202;2210;80000;032;1T;08;0;04;80570;248000432;CC;2
80406;Hallencourt;22;80;801;8023;2202;2210;80000;000;9Z;00;0;06;80001;248000614;CC;6
80407;Hallivillers;22;80;803;8005;2202;2210;80000;032;1T;08;0;03;80010;248000523;CC;2
80408;Halloy-lès-Pernois;22;80;802;8020;2202;2210;80205;032;1T;08;2;21;80241;248000457;CC;2
80409;Hallu;22;80;803;8037;2219;2210;80000;000;9Z;00;0;03;80186;248000507;CC;6
80410;Ham;22;80;804;8024;2219;2211;80208;000;9Z;00;2;22;80410;248000341;CC;4
80411;Le Hamel;22;80;802;8018;2202;2210;80000;032;1T;08;0;05;80212;248000499;CC;2
