"CODGEO";"LIBGEO";"POP"
"02325";"FONTENELLE-EN-BRIE";170
"02326";"FONTENOY";380
"02327";"FORESTE";170
"02328";"FOSSOY";435
"02329";"FOURDRAIN";425
"02330";"FRANCILLY-SELENCY";295
"02331";"FRANQUEVILLE";200
"02332";"FRESNES-EN-TARDENOIS";105
"02333";"FRESNES";110
"02334";"FRESNOY-LE-GRAND";3750
"02335";"FRESSANCOURT";130
"02336";"FRIERES-FAILLOUEL";570
"02337";"FROIDESTREES";165
"02338";"FROIDMONT-COHARTILLE";295
"02339";"GANDELU";235
"02340";"GAUCHY";5500
"02341";"GERCY";290
"02342";"GERGNY";205
"02343";"GERMAINE";110
"02344";"GERNICOURT";65
"02345";"GIBERCOURT";15
"02346";"GIZY";560
"02347";"GLAND";360
"02348";"GLENNES";150
"02349";"GOUDELANCOURT-LES-BERRIEUX";95
"02350";"GOUDELANCOURT-LES-PIERREPONT";175
"02351";"GOUSSANCOURT";95
"02352";"GOUY";785
"02353";"GRANDLUP-ET-FAY";330
"02354";"GRANDRIEUX";110
"02355";"GRICOURT";685
"02356";"GRISOLLES";150
"02357";"GRONARD";110
"02358";"GROUGIS";360
"02359";"GRUGIES";775
"02360";"GUIGNICOURT";1910
"02361";"GUISE";6635
"02362";"GUIVRY";225
"02363";"GUNY";645
"02364";"GUYENCOURT";95
"02366";"HANNAPES";315
"02367";"HAPPENCOURT";145
"02368";"HARAMONT";335
"02369";"HARCIGNY";235
"02370";"HARGICOURT";570
"02371";"HARLY";1350
"02372";"HARTENNES-ET-TAUX";305
"02373";"HARY";230
"02374";"LEHAUCOURT";665
"02375";"HAUTEVESNES";120
"02376";"HAUTEVILLE";190
"02377";"HAUTION";105
"02378";"HERIE";170
"02379";"HERIE-LA-VIEVILLE";265
"02380";"HINACOURT";45
"02381";"HIRSON";11995
"02382";"HOLNON";1380
