"CODGEO";"LIBGEO";"POP"
"02094";"BLESMES";400
"02095";"BOHAIN-EN-VERMANDOIS";6577
"02096";"BOIS-LES-PARGNY";144
"02097";"BONCOURT";224
"02098";"BONNEIL";388
"02099";"BONNESVALYN";208
"02100";"BONY";104
"02101";"BOSMONT-SUR-SERRE";180
"02102";"BOUCONVILLE-VAUCLAIR";164
"02103";"BOUE";1316
"02104";"BOUFFIGNEREUX";100
"02105";"BOURESCHES";164
"02106";"BOURG-ET-COMIN";684
"02107";"BOURGUIGNON-SOUS-COUCY";88
"02108";"BOURGUIGNON-SOUS-MONTBAVIN";116
"02109";"BOUTEILLE";484
"02110";"BRAINE";2076
"02111";"BRANCOURT-EN-LAONNOIS";680
"02112";"BRANCOURT-LE-GRAND";648
"02114";"BRASLES";1238
"02115";"BRAYE-EN-LAONNOIS";184
"02116";"BRAYE-EN-THIERACHE";144
"02117";"BRAY-SAINT-CHRISTOPHE";52
"02118";"BRAYE";140
"02119";"BRECY";292
"02120";"BRENELLE";184
"02121";"BRENY";232
"02122";"BRIE";112
"02123";"BRISSAY-CHOIGNY";316
"02124";"BRISSY-HAMEGICOURT";644
"02125";"BRUMETZ";164
"02126";"BRUNEHAMEL";524
"02127";"BRUYERES-SUR-FERE";216
"02128";"BRUYERES-ET-MONTBERAULT";1500
"02129";"BRUYS";32
"02130";"BUCILLY";228
"02131";"BUCY-LE-LONG";1956
"02132";"BUCY-LES-CERNY";164
"02133";"BUCY-LES-PIERREPONT";412
"02134";"BUIRE";876
"02135";"BUIRONFOSSE";1144
"02136";"BURELLES";156
"02137";"BUSSIARES";92
"02138";"BUZANCY";168
"02139";"CAILLOUEL-CREPIGNY";408
"02140";"CAMELIN";412
"02141";"CAPELLE";2024
"02142";"CASTRES";176
"02143";"CATELET";196
"02144";"CAULAINCOURT";124
"02145";"CAUMONT";472
"02146";"CELLES-LES-CONDE";92
"02147";"CELLE-SOUS-MONTMIRAIL";76
"02148";"CELLES-SUR-AISNE";180
"02149";"CERIZY";52
"02150";"CERNY-EN-LAONNOIS";60
"02151";"CERNY-LES-BUCY";104
"02152";"CERSEUIL";96
"02153";"CESSIERES";440
"02154";"CHACRISE";320
"02155";"CHAILLEVOIS";188
"02156";"CHALANDRY";208
"02157";"CHAMBRY";736
